Estrid 	-	-	10	-	-	-	-	-	-
Eva	23	14	16	19	15	19	16	16	18
Evelin	-	-	10	10	-	-	-	10	-
Evelina	210	211	225	220	251	204	269	315	310
Eveline	10	-	-	-	-	-	18	10	11
Evelyn	11	15	11	16	13	14	-	12	13
Fannie	-	-	-	12	-	14	-	18	10
Fanny	177	208	216	268	293	278	323	354	392
Fatima	44	43	28	38	39	38	26	32	29
Fatma	10	13	10	-	-	-	13	11	10
Felicia	518	531	509	600	624	635	661	617	721
Felizia	15	-	13	-	-	-	11	-	-
Fia	13	-	-	21	14	11	-	11	14
Fideli	-	-	-	-	17	-	-	-	-
Filippa	448	526	424	376	373	292	307	289	246
Fiona	14	21	12	10	-	-	-	-	-
Flora 	25	14	12	-	-	-	-	-	-
Fredrica	-	-	-	-	-	-	-	-	10
Fredrika	22	17	19	24	26	22	29	40	30
Freja	254	128	118	89	55	51	49	37	51
Freya	13	-	-	-	-	-	-	-	-
Frida	320	406	423	459	455	389	476	494	609
Gabriela 	10	13	-	-	-	-	-	-	-
Gabriella	87	89	91	102	86	80	115	138	135
Gabrielle	-	-	-	-	-	13	-	-	-
Gina	-	-	-	-	-	-	11	-	-
Gloria	-	-	-	15	-	-	-	-	-
Grace	11	-	-	-	-	-	-	-	-
Greta	82	88	72	44	40	39	27	34	20
Gry	17	15	21	16	-	-	12	11	-
Hana	13	17	13	-	10	-	-	11	-
Hanan	-	-	-	-	-	11	-	11	-
Hanin 	-	10	-	-	-	-	-	-	-
Hanna	556	659	668	754	778	838	854	856	846
Hannah	149	138	175	179	197	186	165	173	151
Harriet	10	-	-	-	-	-	-	-	-
Havanna 	-	15	-	-	-	-	-	-	-
Havin	-	21	-	-	-	-	-	-	-
Hedda	93	127	87	106	115	73	62	38	50
Hedvig	57	61	69	54	55	43	44	40	34
Heidi	13	12	10	14	15	16	-	-	-
Helen	-	-	10	12	10	10	15	11	14
Helena	20	20	23	34	25	25	36	35	48
Helin	18	19	17	16	12	27	15	11	12
Henny	-	-	-	-	-	-	11	-	-
Henrietta	-	-	-	-	-	-	-	-	12
Hiba	10	13	-	-	11	11	-	-	-
Hilda	189	149	138	114	121	111	86	76	61
Hillevi	18	11	17	-	14	-	-	11	14
Hilma	89	80	67	52	59	44	54	24	18
Hoda	-	-	-	-	-	-	-	10	-
Holly	12	-	-	-	-	-	-	-	-
Ida	849	904	1,012	973	935	863	810	735	747
Idun	36	24	13	-	14	-	-	-	-
Ilse 	-	-	11	-	-	-	-	-	-
Iman	14	12	19	28	19	23	30	16	13
Ina	21	26	26	20	18	20	12	29	19
Indra	31	30	40	45	18	-	-	-	-
Ines	57	39	22	23	15	12	13	-	12
Inez	82	51	47	38	26	21	21	-	13
Ingrid	112	96	94	68	34	45	39	36	40
Iris	87	67	45	36	31	24	12	11	19
Irma	106	90	97	70	70	59	36	33	28
Isa	73	70	74	56	57	41	50	36	42
Isabel	79	72	72	54	53	51	41	47	42
Isabell	75	110	96	98	68	81	105	85	97
Isabella	271	219	219	238	232	212	196	203	199
Isabelle	323	283	242	264	254	227	243	209	222
Isolde	14	16	13	-	14	-	-	-	-
Isra	10	-	-	12	-	-	-	-	-
Iza	19	30	34	18	13	14	-	-	-
Izabel 	-	10	-	-	-	-	-	-	-
Izabell	14	14	14	14	13	15	26	12	10
Izabella	51	65	52	63	41	48	47	46	33
Izabelle	39	53	42	43	42	43	37	24	18
Jacqueline	15	11	13	15	17	20	14	25	19
Janina	-	11	-	-	-	11	11	11	18
Jasmin	56	60	48	50	45	44	39	44	49
Jasmina	10	11	-	11	10	-	13	15	12
Jasmine	89	82	77	65	77	89	77	81	82
Jeanette	-	-	-	-	-	-	-	13	-
Jenna	20	18	17	16	13	15	10	-	10
Jennie	25	33	24	42	35	49	55	73	66
Jennifer	159	180	239	300	294	338	388	358	340
Jenny	53	68	73	75	93	114	159	159	205
Jessica	68	56	75	83	87	90	137	181	188
Jessie	-	13	-	-	-	-	11	-	-
Jessika	-	-	-	-	14	-	24	18	14
Jill	11	13	12	-	-	-	10	10	-
Joanna	18	20	19	20	22	24	24	28	36
Johanna	224	253	283	407	467	485	521	640	713
Jolin 	12	11	16	-	-	-	-	-	-
Jolina	17	15	12	12	-	-	-	-	-
Joline	54	62	45	26	14	17	17	21	-
Jonna	112	110	142	154	168	135	152	158	146
Josefin	93	104	149	167	188	183	231	253	268
Josefina	10	10	26	22	15	23	20	23	19
Josefine	115	188	190	211	230	227	277	257	310
Josephine	26	37	34	45	52	53	63	50	47
Judit	12	-	-	-	-	-	-	-	-
Judith	21	17	15	16	16	12	11	13	-
Julia	921	914	945	896	998	1,162	1,243	1,230	1,171
Julie	30	29	20	-	20	13	10	-	-
Juni	54	29	23	14	-	-	-	-	-
Junia	13	-	-	-	-	-	-	-	-
Junie	13	-	-	-	-	-	-	-	-
Kajsa	178	183	184	247	249	233	242	190	193
Karin	65	63	66	87	68	98	96	126	99
Karla	11	13	-	-	-	10	-	-	-
Karolin	-	-	-	-	-	11	-	-	11
Karolina	28	35	33	37	47	54	47	75	81
Katarina	16	18	22	21	21	21	34	33	34
Katja	11	12	16	19	12	13	13	17	18
Kelly	21	15	18	17	16	17	14	11	19
Kerstin	28	26	15	33	14	20	21	-	13
Kim	-	11	24	16	18	16	17	30	19
Kimberly	13	-	-	-	14	12	14	-	10
Kira 	12	10	-	-	-	-	-	-	-
Klara	420	384	445	390	393	409	323	271	258
Kristin	-	-	12	-	15	26	26	21	43
Kristina	25	28	39	28	33	42	34	52	75
Laila	10	-	-	-	-	14	-	-	-
Lana	24	22	26	12	13	-	18	-	-
Lara	40	49	35	23	27	26	17	12	20
Laura	60	51	58	57	34	40	27	35	32
Lava 	15	11	10	-	-	-	-	-	-
Lea	114	109	84	53	51	40	15	10	10
Leah	84	74	32	26	30	-	12	-	-
