Seth	11	16	11	10	11	12	-	-	-
Shayan	-	-	-	10	-	-	-	-	-
Sigge	69	48	31	27	27	17	11	17	-
Simon	713	774	878	955	931	882	1,083	1,143	1,154
Sixten	165	129	95	55	52	41	34	24	18
Sonny	-	-	12	15	-	-	-	-	11
Stefan	26	27	29	32	38	38	46	61	55
Svante	113	86	80	57	53	37	39	22	35
Sven	32	14	20	16	20	13	11	18	13
Tage	56	38	29	30	17	-	-	-	-
Tarik	17	23	12	11	10	-	-	10	-
Ted	49	61	31	27	41	38	41	34	39
Teddy	15	16	15	12	11	-	13	-	-
Teo	76	74	68	52	38	34	25	14	18
Teodor	70	77	76	70	51	50	42	50	54
Texas	22	11	-	-	-	-	-	-	-
Theo	416	320	271	216	148	106	80	44	27
Theodor	197	209	179	163	124	115	88	106	80
Theodore	22	16	14	23	-	10	-	-	-
Thim	12	11	10	-	-	10	-	-	-
Thomas	18	14	18	25	29	39	44	40	55
Thor	27	15	11	20	16	11	10	10	15
Tiger	10	-	-	-	-	-	-	-	-
Tim	299	317	313	303	280	276	284	273	257
Timmie	-	-	-	-	-	-	-	10	-
Timmy	25	27	24	26	38	41	48	31	39
Timothy	19	21	26	35	37	24	29	31	36
Tintin	-	-	-	-	10	-	-	10	10
Tobias	145	145	191	233	233	269	311	382	471
Tom	59	46	51	59	49	46	69	81	88
Tomas	15	16	26	18	21	19	29	32	36
Tommy	14	-	12	15	14	23	29	34	28
Tony	13	14	24	17	15	13	21	15	31
Tor	52	36	38	50	28	27	27	39	23
Tore 	24	17	14	-	-	-	-	-	-
Totte 	10	10	-	-	-	-	-	-	-
Tristan	46	45	39	26	19	-	11	-	-
Troy 	-	10	-	-	-	-	-	-	-
Truls	25	17	27	21	29	15	16	15	-
Ture	62	54	45	35	26	17	16	-	-
Uno 	-	12	-	-	-	-	-	-	-
Valdemar	40	48	37	32	31	22	22	17	10
Waldemar 	10	-	10	-	-	-	-	-	-
Valentin	21	23	22	15	-	11	-	-	12
Valentino	12	10	-	11	-	-	-	-	-
Walid 	-	10	-	-	-	-	-	-	-
Valter	78	65	50	37	35	25	23	18	10
Walter	50	36	41	22	21	22	-	13	10
Victor	354	323	397	402	385	388	472	452	413
Wictor	13	15	12	17	11	21	19	18	14
Vidar	113	97	77	52	38	27	28	18	22
Vide	25	20	14	11	-	-	-	-	-
Viggo	433	327	305	240	114	53	47	15	15
Wiggo	59	38	32	31	13	10	-	-	-
Vigor 	11	13	16	-	-	-	-	-	-
Viking	19	17	12	10	21	13	17	16	13
Viktor	556	549	555	590	546	534	589	582	550
Wiktor	23	22	12	22	22	17	16	16	14
Vilde 	-	10	-	-	-	-	-	-	-
Vilgot	161	141	91	68	57	31	31	19	-
Wilgot	25	33	16	11	-	-	-	-	-
Vilhelm	82	71	62	63	43	48	38	47	45
Wilhelm	113	116	130	90	90	68	80	79	64
Ville	162	157	119	80	57	34	40	28	13
Wille	112	99	67	57	32	29	30	15	10
Villiam	-	13	10	11	12	-	16	20	19
William	1,092	1,115	1,238	1,215	995	975	1,095	940	823
Willy	10	-	10	-	14	12	20	18	13
Vilmer	125	82	71	52	34	30	19	12	12
Wilmer	197	204	141	86	50	45	47	31	20
Vincent	305	219	224	145	124	118	89	102	80
Wincent 	13	-	-	-	-	-	-	-	-
Winston	11	-	-	-	-	-	-	-	-
Xander 	10	18	12	-	-	-	-	-	-
Yahya	-	-	-	10	-	-	-	-	-
Yasin	16	10	11	-	-	11	-	-	-
Yonis	-	-	10	-	-	-	-	-	10
Yosef	19	10	-	-	16	-	-	-	-
Younes	-	-	15	10	-	-	-	-	-
Yousef	11	19	13	15	16	-	10	14	12
Youssef	-	-	-	11	-	-	-	-	-
Yusuf	13	16	18	-	14	10	-	15	12
Zacharias	29	36	25	19	19	28	20	31	16
Zack	35	34	27	16	14	14	-	13	13
Zackarias	25	39	23	12	12	21	-	14	12
Zakaria	18	15	22	18	11	11	16	14	14
Zakarias	20	12	19	17	14	12	-	10	-
Zeb	22	16	18	20	11	-	11	-	-
Zebastian	18	21	21	26	26	29	26	22	23
Zeke 	-	11	-	-	-	-	-	-	-
Zion 	16	-	-	-	-	-	-	-	-
Åke	19	17	13	10	10	-	13	-	-
