HAFSA 	10 	8 	9 	6 	11 	: 	6 	8 	5 	12
HANA 	7 	8 	5 	16 	6 	4 	10 	4 	4 	6
HANNA 	222 	213 	222 	221 	230 	236 	206 	237 	238 	231
HANNAH 	180 	203 	163 	182 	170 	180 	147 	127 	92 	106
HANNE 	75 	80 	91 	108 	137 	157 	171 	197 	204 	224
HEDDA 	262 	252 	280 	259 	282 	307 	221 	223 	214 	107
HEDVIG 	31 	31 	29 	32 	21 	30 	21 	22 	18 	12
HEGE 	5 	6 	8 	13 	29 	19 	23 	33 	63 	46
HEIDI 	26 	40 	33 	30 	42 	49 	70 	75 	69 	81
HELEN 	4 	8 	9 	13 	16 	11 	16 	19 	15 	15
HELENA 	79 	50 	83 	60 	63 	54 	83 	46 	64 	53
HELENE 	219 	239 	221 	290 	261 	294 	284 	310 	352 	339
HELGA 	5 	5 	: 	7 	10 	11 	10 	5 	7 	16
HELIN 	8 	13 	10 	8 	8 	5 	8 	: 	5 	:
HELLE 	51 	55 	52 	58 	50 	61 	58 	46 	43 	47
HENNIE 	17 	13 	11 	9 	9 	10 	4 	10 	: 	4
HENNY 	13 	12 	4 	6 	5 	9 	5 	7 	6 	5
HENRIETTE 	91 	106 	123 	115 	108 	149 	193 	187 	145 	180
HENRIKKE 	10 	6 	6 	10 	4 	8 	12 	11 	12 	7
HERMINE 	56 	36 	28 	24 	18 	6 	4 	7 	: 	:
HILDE 	9 	13 	21 	25 	28 	33 	34 	54 	63 	89
IBEN 	67 	71 	86 	30 	25 	23 	26 	14 	12 	12
IDA 	422 	459 	468 	500 	515 	512 	557 	502 	536 	577
IDUN 	17 	24 	15 	11 	16 	9 	17 	20 	12 	12
IDUNN 	9 	8 	21 	21 	11 	17 	17 	13 	13 	13
IHNE 	: 	: 	: 	: 	9 	17 	7 	: 	: 	:
IMAN 	17 	16 	18 	16 	9 	9 	7 	8 	14 	11
INA 	60 	48 	72 	50 	71 	74 	61 	51 	65 	68
INE 	48 	81 	70 	79 	82 	95 	74 	57 	61 	60
INGA 	16 	33 	30 	26 	21 	26 	45 	42 	34 	33
INGEBJØRG 	10 	14 	14 	8 	5 	13 	21 	13 	14 	13
INGEBORG 	142 	169 	172 	134 	97 	111 	121 	103 	120 	102
INGELIN 	4 	6 	8 	5 	6 	7 	8 	9 	10 	8
INGER 	30 	33 	41 	41 	38 	41 	37 	42 	57 	64
INGERID 	5 	: 	: 	: 	8 	6 	11 	10 	12 	6
INGRI 	4 	5 	10 	7 	9 	13 	8 	8 	7 	9
INGRID 	367 	364 	338 	393 	416 	383 	449 	497 	444 	597
INGUNN 	8 	10 	9 	9 	11 	15 	20 	20 	28 	21
INGVILD 	51 	68 	69 	62 	60 	99 	106 	162 	162 	173
INGVILL 	6 	8 	: 	7 	: 	7 	5 	15 	9 	10
IQRA 	7 	: 	6 	7 	8 	7 	: 	5 	11 	11
IRENE 	10 	7 	9 	10 	15 	12 	10 	15 	21 	21
IRIS 	21 	22 	30 	25 	17 	21 	25 	19 	17 	24
IRMELIN 	: 	: 	: 	8 	6 	6 	4 	11 	11 	17
ISA 	10 	11 	7 	11 	4 	8 	5 	: 	4 	6
ISABEL 	70 	76 	57 	58 	46 	47 	45 	32 	37 	37
ISABELL 	62 	59 	38 	43 	41 	26 	21 	34 	23 	26
ISABELLA 	53 	55 	37 	27 	50 	32 	22 	28 	15 	13
ISABELLE 	25 	36 	34 	28 	24 	29 	20 	27 	19 	16
ISELIN 	90 	83 	59 	86 	70 	75 	93 	71 	78 	113
JANE 	: 	5 	5 	6 	: 	5 	8 	14 	8 	10
JANNE 	18 	18 	14 	16 	17 	29 	27 	41 	23 	37
JANNICKE 	7 	7 	4 	8 	10 	11 	7 	20 	22 	29
JANNIKE 	5 	: 	: 	6 	4 	10 	8 	5 	7 	9
JASMIN 	12 	28 	15 	12 	11 	15 	17 	14 	9 	11
JASMINE 	4 	13 	7 	11 	5 	: 	4 	6 	8 	4
JEANETT 	6 	4 	6 	8 	10 	8 	11 	10 	11 	21
JEANETTE 	6 	8 	13 	8 	16 	15 	21 	35 	33 	37
JENNIE 	8 	10 	14 	12 	5 	6 	5 	7 	6 	5
JENNIFER 	6 	11 	13 	16 	22 	13 	22 	11 	11 	10
JENNY 	172 	182 	144 	166 	169 	165 	182 	183 	166 	156
JESSICA 	25 	16 	14 	19 	6 	19 	13 	12 	13 	14
JOHANNA 	66 	70 	52 	44 	33 	39 	43 	33 	39 	50
JOHANNE 	131 	145 	142 	132 	124 	114 	145 	125 	151 	130
JORUNN 	7 	8 	5 	: 	7 	6 	15 	9 	5 	10
JOSEFINE 	83 	77 	59 	50 	56 	60 	38 	63 	72 	46
JOSEPHINE 	8 	9 	8 	12 	7 	6 	10 	5 	8 	6
JUDITH 	: 	: 	4 	: 	8 	6 	6 	4 	8 	10
JULIA 	97 	114 	111 	109 	109 	105 	85 	74 	82 	63
JULIANE 	12 	21 	11 	16 	14 	21 	17 	15 	10 	25
JULIANNE 	13 	17 	33 	14 	27 	17 	23 	32 	33 	20
JULIE 	430 	425 	450 	496 	477 	539 	477 	492 	433 	454
JUNE 	25 	40 	34 	40 	59 	51 	62 	54 	52 	69
JUNI 	11 	15 	24 	20 	17 	18 	28 	32 	31 	20
KAIA 	38 	45 	47 	48 	40 	59 	37 	23 	38 	27
KAISA 	31 	26 	39 	35 	29 	23 	23 	14 	14 	6
KAJA 	145 	146 	144 	138 	154 	146 	154 	129 	94 	100
KAJSA 	22 	23 	32 	38 	21 	14 	15 	15 	8 	6
KAMILLA 	47 	43 	63 	45 	51 	60 	76 	84 	98 	102
KAREN 	52 	61 	71 	60 	82 	73 	77 	96 	66 	106
KARI 	22 	26 	30 	47 	47 	29 	47 	43 	40 	57
KARIANNE 	11 	12 	13 	20 	25 	40 	35 	39 	45 	61
KARIN 	7 	9 	7 	12 	20 	13 	18 	16 	16 	11
KARINA 	30 	26 	37 	38 	29 	40 	42 	50 	65 	61
KARINE 	5 	19 	16 	9 	16 	16 	22 	16 	18 	25
KAROLINA 	: 	8 	4 	5 	7 	6 	10 	5 	: 	5
KAROLINE 	122 	165 	171 	138 	162 	219 	230 	256 	282 	303
KATARINA 	16 	11 	20 	19 	27 	24 	23 	36 	44 	30
KATHARINA 	13 	5 	12 	9 	9 	12 	21 	14 	13 	18
KATHINKA 	: 	6 	4 	5 	: 	14 	8 	9 	6 	:
KATHRINE 	8 	15 	15 	21 	20 	26 	25 	42 	36 	37
KATINKA 	: 	10 	8 	10 	8 	11 	10 	14 	8 	14
KATJA 	14 	12 	19 	: 	11 	9 	6 	10 	14 	9
KATRINE 	20 	36 	36 	42 	57 	69 	72 	92 	89 	97
KAYA 	8 	10 	7 	12 	9 	: 	4 	: 	: 	:
KINE 	63 	61 	63 	62 	71 	80 	76 	72 	87 	106
KIRSTEN 	: 	5 	: 	7 	7 	5 	10 	6 	9 	10
KIRSTI 	: 	5 	5 	: 	4 	: 	6 	9 	8 	11
KJERSTI 	18 	16 	15 	18 	23 	21 	28 	38 	30 	40
KLARA 	15 	17 	15 	19 	10 	18 	14 	6 	11 	10
KORNELIA 	8 	12 	12 	9 	: 	4 	8 	9 	6 	:
KRISTIANE 	19 	15 	15 	19 	22 	21 	22 	22 	29 	19
KRISTIN 	44 	52 	84 	73 	94 	108 	123 	154 	168 	194
KRISTINA 	60 	59 	77 	92 	93 	78 	108 	88 	95 	121
KRISTINE 	135 	129 	163 	174 	205 	214 	240 	278 	282 	324
LAIBA 	12 	9 	21 	10 	: 	9 	: 	: 	: 	:
LAILA 	6 	15 	7 	11 	11 	11 	12 	11 	17 	14
LANA 	11 	7 	10 	12 	4 	4 	: 	: 	4 	:
LARA 	10 	14 	18 	10 	11 	12 	6 	4 	4 	:
LAURA 	17 	18 	24 	25 	26 	23 	25 	23 	32 	10
LEA 	89 	105 	131 	94 	85 	96 	82 	53 	37 	29
LEAH 	209 	122 	83 	65 	44 	30 	22 	11 	7 	6
LEILA 	: 	: 	7 	11 	: 	6 	10 	5 	: 	6
LEJLA 	: 	5 	: 	5 	9 	10 	4 	: 	: 	:
LENA 	27 	34 	33 	44 	39 	62 	52 	72 	79 	94
LENE 	16 	22 	32 	47 	55 	66 	98 	104 	93 	88
LEONA 	25 	22 	12 	8 	8 	: 	: 	: 	: 	:
LEONORA 	23 	19 	11 	6 	11 	8 	12 	8 	9 	:
LILJA 	15 	18 	11 	4 	6 	7 	: 	4 	: 	5
LILL 	6 	7 	7 	7 	5 	9 	8 	11 	6 	13
LILLI 	12 	7 	12 	: 	8 	7 	: 	: 	4 	:
LILLIAN 	10 	11 	16 	17 	7 	14 	13 	24 	18 	15
LILLY 	29 	23 	36 	19 	14 	18 	12 	9 	10 	11
LINA 	68 	65 	70 	75 	58 	60 	52 	52 	50 	59
LINDA 	6 	16 	26 	30 	25 	28 	31 	50 	62 	64
LINE 	42 	47 	53 	67 	58 	55 	67 	85 	87 	120
LINEA 	49 	37 	28 	17 	14 	10 	11 	6 	7 	8
LINN 	35 	54 	62 	87 	90 	96 	116 	122 	156 	135
LINNEA 	240 	201 	164 	127 	78 	75 	60 	56 	50 	41
LISA 	103 	93 	106 	113 	97 	106 	114 	130 	132 	134
LISBETH 	4 	4 	: 	4 	: 	7 	: 	6 	15 	13
LISE 	32 	38 	32 	56 	48 	48 	63 	77 	90 	100
LIV 	49 	46 	53 	56 	58 	51 	44 	49 	58 	58
LIVA 	18 	15 	12 	21 	13 	6 	5 	10 	4 	6
LIVE 	107 	104 	78 	61 	60 	60 	46 	43 	52 	45
LONE 	35 	30 	22 	30 	21 	37 	44 	31 	36 	29
LOTTA 	14 	19 	9 	13 	14 	16 	6 	4 	14 	:
LOTTE 	63 	43 	54 	41 	49 	48 	45 	43 	40 	47
LOUISE 	50 	36 	50 	31 	39 	35 	44 	36 	42 	32
LOVISE 	19 	18 	18 	11 	16 	22 	20 	14 	14 	19
LUNA 	25 	21 	21 	11 	16 	5 	5 	5 	5 	:
LYDIA 	12 	10 	15 	10 	9 	8 	8 	10 	6 	8
LYKKE 	16 	14 	11 	10 	: 	6 	4 	: 	: 	:
MADELEINE 	63 	74 	51 	61 	75 	67 	55 	64 	60 	53
MADELEN 	84 	80 	71 	69 	84 	58 	70 	86 	64 	61
MADELENE 	10 	8 	7 	14 	11 	12 	10 	16 	15 	9
MAGNHILD 	: 	4 	5 	6 	: 	6 	7 	7 	11 	10
MAI 	8 	11 	11 	8 	9 	: 	12 	15 	15 	13
MAIA 	37 	50 	38 	34 	30 	30 	25 	29 	17 	20
MAIKEN 	37 	51 	36 	40 	59 	77 	79 	78 	72 	63
MAJA 	177 	195 	185 	183 	146 	137 	154 	119 	106 	97
MALAIKA 	7 	18 	12 	8 	5 	: 	: 	: 	: 	:
MALENA 	14 	15 	11 	6 	6 	9 	6 	9 	7 	11
MALENE 	73 	77 	86 	83 	94 	90 	111 	108 	97 	105
MALI 	13 	18 	19 	17 	11 	15 	18 	23 	6 	11
MALIN 	313 	378 	336 	329 	373 	396 	420 	456 	472 	413
MAREN 	172 	187 	219 	215 	213 	191 	217 	271 	264 	259
MARGIT 	8 	12 	8 	15 	4 	12 	10 	11 	19 	15
MARGRETE 	6 	9 	11 	11 	10 	10 	17 	16 	16 	25
MARGRETHE 	26 	30 	25 	30 	25 	29 	15 	27 	38 	50
MARI 	180 	191 	195 	172 	172 	214 	205 	213 	231 	219
MARIA 	315 	346 	415 	431 	431 	428 	425 	387 	399 	409
MARIAM 	10 	13 	17 	24 	12 	22 	15 	16 	26 	10
