GJERMUND 	7 	8 	7 	: 	9 	13 	16 	10 	21 	18
GLENN 	6 	8 	14 	11 	16 	19 	18 	30 	27 	40
GUNNAR 	15 	13 	5 	18 	17 	18 	26 	29 	25 	23
GUSTAV 	52 	53 	38 	42 	28 	29 	22 	40 	28 	32
GØRAN 	: 	: 	5 	10 	8 	6 	12 	10 	15 	21
HAAKON 	48 	38 	47 	51 	54 	56 	81 	76 	70 	86
HALLVARD 	17 	19 	28 	20 	29 	27 	24 	24 	30 	27
HALVARD 	11 	13 	7 	19 	27 	25 	14 	13 	17 	18
HALVOR 	36 	39 	49 	35 	34 	45 	47 	41 	35 	41
HAMZA 	21 	15 	15 	16 	17 	20 	15 	12 	15 	19
HANS 	85 	73 	99 	99 	124 	131 	169 	140 	167 	173
HARALD 	39 	27 	40 	30 	39 	57 	60 	54 	65 	67
HARIS 	5 	5 	5 	5 	: 	5 	6 	6 	10 	13
HASSAN 	15 	12 	11 	14 	17 	20 	11 	14 	9 	27
HAUK 	13 	9 	7 	11 	7 	14 	12 	8 	10 	9
HEINE 	46 	41 	43 	22 	26 	38 	24 	22 	12 	9
HELGE 	12 	13 	10 	13 	10 	13 	14 	12 	23 	20
HENNING 	43 	46 	55 	44 	33 	45 	61 	80 	43 	50
HENRIK 	388 	420 	406 	433 	465 	494 	482 	489 	437 	460
HENRY 	16 	15 	17 	14 	10 	9 	16 	9 	12 	13
HERMAN 	170 	159 	195 	192 	182 	173 	170 	169 	151 	121
HERMANN 	15 	16 	10 	14 	16 	19 	26 	34 	17 	10
HUGO 	8 	9 	7 	5 	9 	9 	14 	8 	4 	:
HUSSEIN 	5 	6 	7 	8 	10 	11 	: 	7 	10 	:
HÅKON 	193 	211 	236 	186 	204 	206 	249 	332 	351 	355
HÅVAR 	: 	4 	5 	12 	6 	15 	11 	16 	12 	11
HÅVARD 	110 	130 	141 	163 	153 	175 	217 	214 	231 	226
IAN 	8 	8 	7 	8 	13 	9 	9 	11 	6 	9
IBRAHIM 	19 	23 	33 	23 	19 	12 	17 	9 	10 	11
IDAR 	7 	9 	4 	6 	: 	10 	11 	7 	11 	12
IMRE 	18 	17 	11 	15 	5 	9 	7 	5 	: 	:
INGAR 	5 	: 	6 	: 	5 	6 	5 	: 	4 	11
INGE 	6 	: 	5 	9 	: 	7 	6 	11 	12 	14
ISAAC 	10 	9 	13 	7 	6 	8 	5 	9 	8 	6
ISAC 	17 	13 	15 	14 	10 	9 	13 	8 	5 	5
ISAK 	227 	211 	207 	224 	196 	168 	143 	121 	102 	67
ISMAIL 	8 	14 	13 	10 	9 	8 	6 	11 	7 	7
IVAN 	15 	11 	14 	23 	17 	11 	20 	13 	15 	16
IVAR 	27 	28 	36 	37 	29 	43 	35 	47 	40 	51
IVER 	94 	100 	92 	79 	81 	64 	63 	50 	52 	40
JACK 	6 	6 	: 	10 	8 	6 	7 	9 	5 	6
JACOB 	99 	101 	110 	112 	114 	87 	83 	73 	83 	61
JAKOB 	199 	181 	205 	175 	201 	164 	137 	137 	118 	127
JAMES 	: 	6 	11 	15 	7 	7 	4 	14 	10 	9
JAN 	60 	49 	58 	76 	72 	101 	111 	128 	136 	127
JARAND 	6 	7 	7 	9 	10 	6 	16 	10 	10 	13
JARDAR 	4 	7 	9 	4 	: 	7 	10 	10 	10 	6
JARL 	5 	: 	: 	: 	7 	6 	10 	12 	9 	17
JARLE 	5 	7 	8 	17 	9 	14 	14 	22 	30 	31
JENS 	82 	82 	97 	75 	76 	85 	118 	90 	70 	116
JEPPE 	5 	4 	7 	8 	8 	9 	12 	7 	5 	9
JESPER 	133 	140 	148 	127 	127 	87 	97 	116 	119 	77
JIM 	8 	7 	12 	13 	8 	9 	9 	12 	16 	10
JIMMY 	8 	: 	6 	5 	5 	8 	7 	9 	14 	9
JO 	23 	22 	22 	38 	20 	26 	34 	29 	19 	23
JOACHIM 	47 	49 	60 	80 	75 	72 	95 	80 	95 	122
JOACIM 	7 	4 	7 	5 	7 	11 	7 	14 	12 	19
JOAKIM 	128 	122 	149 	162 	204 	244 	226 	248 	261 	287
JOAR 	14 	19 	6 	7 	15 	10 	21 	20 	11 	25
JOEL 	12 	21 	15 	16 	13 	14 	10 	8 	10 	10
JOHAN 	103 	110 	98 	120 	114 	107 	129 	137 	136 	122
JOHANN 	9 	: 	4 	10 	7 	10 	15 	7 	6 	9
JOHANNES 	217 	244 	205 	200 	206 	177 	160 	169 	176 	176
JOHN 	64 	71 	85 	70 	104 	100 	105 	128 	114 	101
JOHNNY 	: 	: 	4 	11 	8 	11 	10 	11 	14 	13
JON 	51 	77 	79 	97 	89 	88 	109 	111 	135 	160
JONAH 	15 	8 	14 	6 	: 	: 	: 	: 	: 	:
JONAS 	535 	478 	485 	512 	487 	477 	506 	509 	446 	518
JONATAN 	34 	43 	47 	58 	37 	42 	46 	42 	31 	22
JONATHAN 	141 	136 	126 	132 	92 	101 	115 	88 	91 	92
JONE 	18 	31 	26 	25 	21 	13 	17 	17 	26 	21
JOSEF 	18 	9 	12 	12 	13 	8 	11 	10 	5 	15
JOSHUA 	4 	5 	6 	7 	9 	14 	7 	15 	8 	5
JOSTEIN 	25 	29 	29 	34 	34 	43 	50 	58 	73 	60
JULIAN 	160 	152 	111 	79 	81 	59 	61 	52 	48 	50
JULIUS 	9 	15 	7 	10 	10 	12 	14 	7 	15 	5
JØRAN 	10 	10 	6 	17 	11 	15 	11 	23 	14 	12
JØRGEN 	162 	172 	192 	213 	231 	253 	291 	345 	322 	344
JØRN 	5 	4 	8 	8 	8 	7 	21 	14 	16 	18
JØRUND 	5 	: 	5 	5 	5 	5 	8 	7 	7 	10
KAI 	11 	12 	8 	9 	9 	15 	12 	15 	13 	17
KARL 	46 	53 	56 	46 	60 	53 	73 	76 	80 	89
KARSTEN 	19 	14 	23 	24 	14 	13 	17 	16 	25 	19
KASPAR 	8 	11 	6 	6 	9 	: 	8 	4 	4 	4
KASPER 	141 	141 	161 	157 	147 	122 	98 	98 	74 	51
KEN 	9 	12 	12 	6 	11 	7 	13 	12 	12 	15
KENNET 	: 	: 	4 	: 	4 	: 	7 	5 	4 	10
KENNETH 	18 	31 	29 	36 	27 	40 	37 	49 	72 	89
KENT 	8 	7 	10 	10 	17 	11 	10 	16 	14 	29
KEVIN 	132 	153 	138 	140 	164 	118 	153 	147 	155 	162
KHALID 	8 	9 	11 	7 	8 	: 	5 	: 	4 	7
KIM 	35 	36 	55 	54 	66 	54 	93 	83 	78 	101
KJARTAN 	: 	: 	7 	9 	11 	8 	12 	12 	16 	20
